,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title
0,1,0,3,male,22.0,1,0,7.25,S,2,0,Mr
1,2,1,1,female,38.0,1,0,71.2833,C,2,0,Mrs
2,3,1,3,female,26.0,0,0,7.925,S,1,1,Miss
3,4,1,1,female,35.0,1,0,53.1,S,2,0,Mrs
4,5,0,3,male,35.0,0,0,8.05,S,1,1,Mr
5,6,0,3,male,28.0,0,0,8.4583,Q,1,1,Mr
6,7,0,1,male,54.0,0,0,51.8625,S,1,1,Mr
7,8,0,3,male,2.0,3,1,21.075,S,5,0,Master
8,9,1,3,female,27.0,0,2,11.1333,S,3,0,Mrs
9,10,1,2,female,14.0,1,0,30.0708,C,2,0,Mrs
10,11,1,3,female,4.0,1,1,16.7,S,3,0,Miss
11,12,1,1,female,58.0,0,0,26.55,S,1,1,Miss
12,13,0,3,male,20.0,0,0,8.05,S,1,1,Mr
13,14,0,3,male,39.0,1,5,31.275,S,7,0,Mr
14,15,0,3,female,14.0,0,0,7.8542,S,1,1,Miss
15,16,1,2,female,55.0,0,0,16.0,S,1,1,Mrs
16,17,0,3,male,2.0,4,1,29.125,Q,6,0,Master
17,18,1,2,male,28.0,0,0,13.0,S,1,1,Mr
18,19,0,3,female,31.0,1,0,18.0,S,2,0,Mrs
19,20,1,3,female,28.0,0,0,7.225,C,1,1,Mrs
20,21,0,2,male,35.0,0,0,26.0,S,1,1,Mr
21,22,1,2,male,34.0,0,0,13.0,S,1,1,Mr
22,23,1,3,female,15.0,0,0,8.0292,Q,1,1,Miss
23,24,1,1,male,28.0,0,0,35.5,S,1,1,Mr
24,25,0,3,female,8.0,3,1,21.075,S,5,0,Miss
25,26,1,3,female,38.0,1,5,31.3875,S,7,0,Mrs
26,27,0,3,male,28.0,0,0,7.225,C,1,1,Mr
27,28,0,1,male,19.0,3,2,263.0,S,6,0,Mr
28,29,1,3,female,28.0,0,0,7.8792,Q,1,1,Miss
29,30,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
30,31,0,1,male,40.0,0,0,27.7208,C,1,1,Other
31,32,1,1,female,28.0,1,0,146.5208,C,2,0,Mrs
32,33,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
33,34,0,2,male,66.0,0,0,10.5,S,1,1,Mr
34,35,0,1,male,28.0,1,0,82.1708,C,2,0,Mr
35,36,0,1,male,42.0,1,0,52.0,S,2,0,Mr
36,37,1,3,male,28.0,0,0,7.2292,C,1,1,Mr
37,38,0,3,male,21.0,0,0,8.05,S,1,1,Mr
38,39,0,3,female,18.0,2,0,18.0,S,3,0,Miss
39,40,1,3,female,14.0,1,0,11.2417,C,2,0,Miss
40,41,0,3,female,40.0,1,0,9.475,S,2,0,Mrs
41,42,0,2,female,27.0,1,0,21.0,S,2,0,Mrs
42,43,0,3,male,28.0,0,0,7.8958,C,1,1,Mr
43,44,1,2,female,3.0,1,2,41.5792,C,4,0,Miss
44,45,1,3,female,19.0,0,0,7.8792,Q,1,1,Miss
45,46,0,3,male,28.0,0,0,8.05,S,1,1,Mr
46,47,0,3,male,28.0,1,0,15.5,Q,2,0,Mr
47,48,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
48,49,0,3,male,28.0,2,0,21.6792,C,3,0,Mr
49,50,0,3,female,18.0,1,0,17.8,S,2,0,Mrs
50,51,0,3,male,7.0,4,1,39.6875,S,6,0,Master
51,52,0,3,male,21.0,0,0,7.8,S,1,1,Mr
52,53,1,1,female,49.0,1,0,76.7292,C,2,0,Mrs
53,54,1,2,female,29.0,1,0,26.0,S,2,0,Mrs
54,55,0,1,male,65.0,0,1,61.9792,C,2,0,Mr
55,56,1,1,male,28.0,0,0,35.5,S,1,1,Mr
56,57,1,2,female,21.0,0,0,10.5,S,1,1,Miss
57,58,0,3,male,28.5,0,0,7.2292,C,1,1,Mr
58,59,1,2,female,5.0,1,2,27.75,S,4,0,Miss
59,60,0,3,male,11.0,5,2,46.9,S,8,0,Master
60,61,0,3,male,22.0,0,0,7.2292,C,1,1,Mr
61,62,1,1,female,38.0,0,0,80.0,S,1,1,Miss
62,63,0,1,male,45.0,1,0,83.475,S,2,0,Mr
63,64,0,3,male,4.0,3,2,27.9,S,6,0,Master
64,65,0,1,male,28.0,0,0,27.7208,C,1,1,Mr
65,66,1,3,male,28.0,1,1,15.2458,C,3,0,Master
66,67,1,2,female,29.0,0,0,10.5,S,1,1,Mrs
67,68,0,3,male,19.0,0,0,8.1583,S,1,1,Mr
68,69,1,3,female,17.0,4,2,7.925,S,7,0,Miss
69,70,0,3,male,26.0,2,0,8.6625,S,3,0,Mr
70,71,0,2,male,32.0,0,0,10.5,S,1,1,Mr
71,72,0,3,female,16.0,5,2,46.9,S,8,0,Miss
72,73,0,2,male,21.0,0,0,73.5,S,1,1,Mr
73,74,0,3,male,26.0,1,0,14.4542,C,2,0,Mr
74,75,1,3,male,32.0,0,0,56.4958,S,1,1,Mr
75,76,0,3,male,25.0,0,0,7.65,S,1,1,Mr
76,77,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
77,78,0,3,male,28.0,0,0,8.05,S,1,1,Mr
78,79,1,2,male,0.83,0,2,29.0,S,3,0,Master
79,80,1,3,female,30.0,0,0,12.475,S,1,1,Miss
80,81,0,3,male,22.0,0,0,9.0,S,1,1,Mr
81,82,1,3,male,29.0,0,0,9.5,S,1,1,Mr
82,83,1,3,female,28.0,0,0,7.7875,Q,1,1,Miss
83,84,0,1,male,28.0,0,0,47.1,S,1,1,Mr
84,85,1,2,female,17.0,0,0,10.5,S,1,1,Miss
85,86,1,3,female,33.0,3,0,15.85,S,4,0,Mrs
86,87,0,3,male,16.0,1,3,34.375,S,5,0,Mr
87,88,0,3,male,28.0,0,0,8.05,S,1,1,Mr
88,89,1,1,female,23.0,3,2,263.0,S,6,0,Miss
89,90,0,3,male,24.0,0,0,8.05,S,1,1,Mr
90,91,0,3,male,29.0,0,0,8.05,S,1,1,Mr
91,92,0,3,male,20.0,0,0,7.8542,S,1,1,Mr
92,93,0,1,male,46.0,1,0,61.175,S,2,0,Mr
93,94,0,3,male,26.0,1,2,20.575,S,4,0,Mr
94,95,0,3,male,59.0,0,0,7.25,S,1,1,Mr
95,96,0,3,male,28.0,0,0,8.05,S,1,1,Mr
96,97,0,1,male,71.0,0,0,34.6542,C,1,1,Mr
97,98,1,1,male,23.0,0,1,63.3583,C,2,0,Mr
98,99,1,2,female,34.0,0,1,23.0,S,2,0,Mrs
99,100,0,2,male,34.0,1,0,26.0,S,2,0,Mr
100,101,0,3,female,28.0,0,0,7.8958,S,1,1,Miss
101,102,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
102,103,0,1,male,21.0,0,1,77.2875,S,2,0,Mr
103,104,0,3,male,33.0,0,0,8.6542,S,1,1,Mr
104,105,0,3,male,37.0,2,0,7.925,S,3,0,Mr
105,106,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
106,107,1,3,female,21.0,0,0,7.65,S,1,1,Miss
107,108,1,3,male,28.0,0,0,7.775,S,1,1,Mr
108,109,0,3,male,38.0,0,0,7.8958,S,1,1,Mr
109,110,1,3,female,28.0,1,0,24.15,Q,2,0,Miss
110,111,0,1,male,47.0,0,0,52.0,S,1,1,Mr
111,112,0,3,female,14.5,1,0,14.4542,C,2,0,Miss
112,113,0,3,male,22.0,0,0,8.05,S,1,1,Mr
113,114,0,3,female,20.0,1,0,9.825,S,2,0,Miss
114,115,0,3,female,17.0,0,0,14.4583,C,1,1,Miss
115,116,0,3,male,21.0,0,0,7.925,S,1,1,Mr
116,117,0,3,male,70.5,0,0,7.75,Q,1,1,Mr
117,118,0,2,male,29.0,1,0,21.0,S,2,0,Mr
118,119,0,1,male,24.0,0,1,247.5208,C,2,0,Mr
119,120,0,3,female,2.0,4,2,31.275,S,7,0,Miss
120,121,0,2,male,21.0,2,0,73.5,S,3,0,Mr
121,122,0,3,male,28.0,0,0,8.05,S,1,1,Mr
122,123,0,2,male,32.5,1,0,30.0708,C,2,0,Mr
123,124,1,2,female,32.5,0,0,13.0,S,1,1,Miss
124,125,0,1,male,54.0,0,1,77.2875,S,2,0,Mr
125,126,1,3,male,12.0,1,0,11.2417,C,2,0,Master
126,127,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
127,128,1,3,male,24.0,0,0,7.1417,S,1,1,Mr
128,129,1,3,female,28.0,1,1,22.3583,C,3,0,Miss
129,130,0,3,male,45.0,0,0,6.975,S,1,1,Mr
130,131,0,3,male,33.0,0,0,7.8958,C,1,1,Mr
131,132,0,3,male,20.0,0,0,7.05,S,1,1,Mr
132,133,0,3,female,47.0,1,0,14.5,S,2,0,Mrs
133,134,1,2,female,29.0,1,0,26.0,S,2,0,Mrs
134,135,0,2,male,25.0,0,0,13.0,S,1,1,Mr
135,136,0,2,male,23.0,0,0,15.0458,C,1,1,Mr
136,137,1,1,female,19.0,0,2,26.2833,S,3,0,Miss
137,138,0,1,male,37.0,1,0,53.1,S,2,0,Mr
138,139,0,3,male,16.0,0,0,9.2167,S,1,1,Mr
139,140,0,1,male,24.0,0,0,79.2,C,1,1,Mr
140,141,0,3,female,28.0,0,2,15.2458,C,3,0,Mrs
141,142,1,3,female,22.0,0,0,7.75,S,1,1,Miss
142,143,1,3,female,24.0,1,0,15.85,S,2,0,Mrs
143,144,0,3,male,19.0,0,0,6.75,Q,1,1,Mr
144,145,0,2,male,18.0,0,0,11.5,S,1,1,Mr
145,146,0,2,male,19.0,1,1,36.75,S,3,0,Mr
146,147,1,3,male,27.0,0,0,7.7958,S,1,1,Mr
147,148,0,3,female,9.0,2,2,34.375,S,5,0,Miss
148,149,0,2,male,36.5,0,2,26.0,S,3,0,Mr
149,150,0,2,male,42.0,0,0,13.0,S,1,1,Other
150,151,0,2,male,51.0,0,0,12.525,S,1,1,Other
151,152,1,1,female,22.0,1,0,66.6,S,2,0,Mrs
152,153,0,3,male,55.5,0,0,8.05,S,1,1,Mr
153,154,0,3,male,40.5,0,2,14.5,S,3,0,Mr
154,155,0,3,male,28.0,0,0,7.3125,S,1,1,Mr
155,156,0,1,male,51.0,0,1,61.3792,C,2,0,Mr
156,157,1,3,female,16.0,0,0,7.7333,Q,1,1,Miss
157,158,0,3,male,30.0,0,0,8.05,S,1,1,Mr
158,159,0,3,male,28.0,0,0,8.6625,S,1,1,Mr
159,160,0,3,male,28.0,8,2,69.55,S,11,0,Master
160,161,0,3,male,44.0,0,1,16.1,S,2,0,Mr
161,162,1,2,female,40.0,0,0,15.75,S,1,1,Mrs
162,163,0,3,male,26.0,0,0,7.775,S,1,1,Mr
163,164,0,3,male,17.0,0,0,8.6625,S,1,1,Mr
164,165,0,3,male,1.0,4,1,39.6875,S,6,0,Master
165,166,1,3,male,9.0,0,2,20.525,S,3,0,Master
166,167,1,1,female,28.0,0,1,55.0,S,2,0,Mrs
167,168,0,3,female,45.0,1,4,27.9,S,6,0,Mrs
168,169,0,1,male,28.0,0,0,25.925,S,1,1,Mr
169,170,0,3,male,28.0,0,0,56.4958,S,1,1,Mr
170,171,0,1,male,61.0,0,0,33.5,S,1,1,Mr
171,172,0,3,male,4.0,4,1,29.125,Q,6,0,Master
172,173,1,3,female,1.0,1,1,11.1333,S,3,0,Miss
173,174,0,3,male,21.0,0,0,7.925,S,1,1,Mr
174,175,0,1,male,56.0,0,0,30.6958,C,1,1,Mr
175,176,0,3,male,18.0,1,1,7.8542,S,3,0,Mr
176,177,0,3,male,28.0,3,1,25.4667,S,5,0,Master
177,178,0,1,female,50.0,0,0,28.7125,C,1,1,Miss
178,179,0,2,male,30.0,0,0,13.0,S,1,1,Mr
179,180,0,3,male,36.0,0,0,0.0,S,1,1,Mr
180,181,0,3,female,28.0,8,2,69.55,S,11,0,Miss
181,182,0,2,male,28.0,0,0,15.05,C,1,1,Mr
182,183,0,3,male,9.0,4,2,31.3875,S,7,0,Master
183,184,1,2,male,1.0,2,1,39.0,S,4,0,Master
184,185,1,3,female,4.0,0,2,22.025,S,3,0,Miss
185,186,0,1,male,28.0,0,0,50.0,S,1,1,Mr
186,187,1,3,female,28.0,1,0,15.5,Q,2,0,Mrs
187,188,1,1,male,45.0,0,0,26.55,S,1,1,Mr
188,189,0,3,male,40.0,1,1,15.5,Q,3,0,Mr
189,190,0,3,male,36.0,0,0,7.8958,S,1,1,Mr
190,191,1,2,female,32.0,0,0,13.0,S,1,1,Mrs
191,192,0,2,male,19.0,0,0,13.0,S,1,1,Mr
192,193,1,3,female,19.0,1,0,7.8542,S,2,0,Miss
193,194,1,2,male,3.0,1,1,26.0,S,3,0,Master
194,195,1,1,female,44.0,0,0,27.7208,C,1,1,Mrs
195,196,1,1,female,58.0,0,0,146.5208,C,1,1,Miss
196,197,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
197,198,0,3,male,42.0,0,1,8.4042,S,2,0,Mr
198,199,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
199,200,0,2,female,24.0,0,0,13.0,S,1,1,Miss
200,201,0,3,male,28.0,0,0,9.5,S,1,1,Mr
201,202,0,3,male,28.0,8,2,69.55,S,11,0,Mr
202,203,0,3,male,34.0,0,0,6.4958,S,1,1,Mr
203,204,0,3,male,45.5,0,0,7.225,C,1,1,Mr
204,205,1,3,male,18.0,0,0,8.05,S,1,1,Mr
205,206,0,3,female,2.0,0,1,10.4625,S,2,0,Miss
206,207,0,3,male,32.0,1,0,15.85,S,2,0,Mr
207,208,1,3,male,26.0,0,0,18.7875,C,1,1,Mr
208,209,1,3,female,16.0,0,0,7.75,Q,1,1,Miss
209,210,1,1,male,40.0,0,0,31.0,C,1,1,Mr
210,211,0,3,male,24.0,0,0,7.05,S,1,1,Mr
211,212,1,2,female,35.0,0,0,21.0,S,1,1,Miss
212,213,0,3,male,22.0,0,0,7.25,S,1,1,Mr
213,214,0,2,male,30.0,0,0,13.0,S,1,1,Mr
214,215,0,3,male,28.0,1,0,7.75,Q,2,0,Mr
215,216,1,1,female,31.0,1,0,113.275,C,2,0,Miss
216,217,1,3,female,27.0,0,0,7.925,S,1,1,Miss
217,218,0,2,male,42.0,1,0,27.0,S,2,0,Mr
218,219,1,1,female,32.0,0,0,76.2917,C,1,1,Miss
219,220,0,2,male,30.0,0,0,10.5,S,1,1,Mr
220,221,1,3,male,16.0,0,0,8.05,S,1,1,Mr
221,222,0,2,male,27.0,0,0,13.0,S,1,1,Mr
222,223,0,3,male,51.0,0,0,8.05,S,1,1,Mr
223,224,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
224,225,1,1,male,38.0,1,0,90.0,S,2,0,Mr
225,226,0,3,male,22.0,0,0,9.35,S,1,1,Mr
226,227,1,2,male,19.0,0,0,10.5,S,1,1,Mr
227,228,0,3,male,20.5,0,0,7.25,S,1,1,Mr
228,229,0,2,male,18.0,0,0,13.0,S,1,1,Mr
229,230,0,3,female,28.0,3,1,25.4667,S,5,0,Miss
230,231,1,1,female,35.0,1,0,83.475,S,2,0,Mrs
231,232,0,3,male,29.0,0,0,7.775,S,1,1,Mr
232,233,0,2,male,59.0,0,0,13.5,S,1,1,Mr
233,234,1,3,female,5.0,4,2,31.3875,S,7,0,Miss
234,235,0,2,male,24.0,0,0,10.5,S,1,1,Mr
235,236,0,3,female,28.0,0,0,7.55,S,1,1,Miss
236,237,0,2,male,44.0,1,0,26.0,S,2,0,Mr
237,238,1,2,female,8.0,0,2,26.25,S,3,0,Miss
238,239,0,2,male,19.0,0,0,10.5,S,1,1,Mr
239,240,0,2,male,33.0,0,0,12.275,S,1,1,Mr
240,241,0,3,female,28.0,1,0,14.4542,C,2,0,Miss
241,242,1,3,female,28.0,1,0,15.5,Q,2,0,Miss
242,243,0,2,male,29.0,0,0,10.5,S,1,1,Mr
243,244,0,3,male,22.0,0,0,7.125,S,1,1,Mr
244,245,0,3,male,30.0,0,0,7.225,C,1,1,Mr
245,246,0,1,male,44.0,2,0,90.0,Q,3,0,Other
246,247,0,3,female,25.0,0,0,7.775,S,1,1,Miss
247,248,1,2,female,24.0,0,2,14.5,S,3,0,Mrs
248,249,1,1,male,37.0,1,1,52.5542,S,3,0,Mr
249,250,0,2,male,54.0,1,0,26.0,S,2,0,Other
250,251,0,3,male,28.0,0,0,7.25,S,1,1,Mr
251,252,0,3,female,29.0,1,1,10.4625,S,3,0,Mrs
252,253,0,1,male,62.0,0,0,26.55,S,1,1,Mr
253,254,0,3,male,30.0,1,0,16.1,S,2,0,Mr
254,255,0,3,female,41.0,0,2,20.2125,S,3,0,Mrs
255,256,1,3,female,29.0,0,2,15.2458,C,3,0,Mrs
256,257,1,1,female,28.0,0,0,79.2,C,1,1,Mrs
257,258,1,1,female,30.0,0,0,86.5,S,1,1,Miss
258,259,1,1,female,35.0,0,0,512.3292,C,1,1,Miss
259,260,1,2,female,50.0,0,1,26.0,S,2,0,Mrs
260,261,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
261,262,1,3,male,3.0,4,2,31.3875,S,7,0,Master
262,263,0,1,male,52.0,1,1,79.65,S,3,0,Mr
263,264,0,1,male,40.0,0,0,0.0,S,1,1,Mr
264,265,0,3,female,28.0,0,0,7.75,Q,1,1,Miss
265,266,0,2,male,36.0,0,0,10.5,S,1,1,Mr
266,267,0,3,male,16.0,4,1,39.6875,S,6,0,Mr
267,268,1,3,male,25.0,1,0,7.775,S,2,0,Mr
268,269,1,1,female,58.0,0,1,153.4625,S,2,0,Mrs
269,270,1,1,female,35.0,0,0,135.6333,S,1,1,Miss
270,271,0,1,male,28.0,0,0,31.0,S,1,1,Mr
271,272,1,3,male,25.0,0,0,0.0,S,1,1,Mr
272,273,1,2,female,41.0,0,1,19.5,S,2,0,Mrs
273,274,0,1,male,37.0,0,1,29.7,C,2,0,Mr
274,275,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
275,276,1,1,female,63.0,1,0,77.9583,S,2,0,Miss
276,277,0,3,female,45.0,0,0,7.75,S,1,1,Miss
277,278,0,2,male,28.0,0,0,0.0,S,1,1,Mr
278,279,0,3,male,7.0,4,1,29.125,Q,6,0,Master
279,280,1,3,female,35.0,1,1,20.25,S,3,0,Mrs
280,281,0,3,male,65.0,0,0,7.75,Q,1,1,Mr
281,282,0,3,male,28.0,0,0,7.8542,S,1,1,Mr
282,283,0,3,male,16.0,0,0,9.5,S,1,1,Mr
283,284,1,3,male,19.0,0,0,8.05,S,1,1,Mr
284,285,0,1,male,28.0,0,0,26.0,S,1,1,Mr
285,286,0,3,male,33.0,0,0,8.6625,C,1,1,Mr
286,287,1,3,male,30.0,0,0,9.5,S,1,1,Mr
287,288,0,3,male,22.0,0,0,7.8958,S,1,1,Mr
288,289,1,2,male,42.0,0,0,13.0,S,1,1,Mr
289,290,1,3,female,22.0,0,0,7.75,Q,1,1,Miss
290,291,1,1,female,26.0,0,0,78.85,S,1,1,Miss
291,292,1,1,female,19.0,1,0,91.0792,C,2,0,Mrs
292,293,0,2,male,36.0,0,0,12.875,C,1,1,Mr
293,294,0,3,female,24.0,0,0,8.85,S,1,1,Miss
294,295,0,3,male,24.0,0,0,7.8958,S,1,1,Mr
295,296,0,1,male,28.0,0,0,27.7208,C,1,1,Mr
296,297,0,3,male,23.5,0,0,7.2292,C,1,1,Mr
297,298,0,1,female,2.0,1,2,151.55,S,4,0,Miss
