,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Title
298,299,1,1,male,28.0,0,0,30.5,S,1,1,Mr
299,300,1,1,female,50.0,0,1,247.5208,C,2,0,Mrs
300,301,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
301,302,1,3,male,28.0,2,0,23.25,Q,3,0,Mr
302,303,0,3,male,19.0,0,0,0.0,S,1,1,Mr
303,304,1,2,female,28.0,0,0,12.35,Q,1,1,Miss
304,305,0,3,male,28.0,0,0,8.05,S,1,1,Mr
305,306,1,1,male,0.92,1,2,151.55,S,4,0,Master
306,307,1,1,female,28.0,0,0,110.8833,C,1,1,Miss
307,308,1,1,female,17.0,1,0,108.9,C,2,0,Mrs
308,309,0,2,male,30.0,1,0,24.0,C,2,0,Mr
309,310,1,1,female,30.0,0,0,56.9292,C,1,1,Miss
310,311,1,1,female,24.0,0,0,83.1583,C,1,1,Miss
311,312,1,1,female,18.0,2,2,262.375,C,5,0,Miss
312,313,0,2,female,26.0,1,1,26.0,S,3,0,Mrs
313,314,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
314,315,0,2,male,43.0,1,1,26.25,S,3,0,Mr
315,316,1,3,female,26.0,0,0,7.8542,S,1,1,Miss
316,317,1,2,female,24.0,1,0,26.0,S,2,0,Mrs
317,318,0,2,male,54.0,0,0,14.0,S,1,1,Other
318,319,1,1,female,31.0,0,2,164.8667,S,3,0,Miss
319,320,1,1,female,40.0,1,1,134.5,C,3,0,Mrs
320,321,0,3,male,22.0,0,0,7.25,S,1,1,Mr
321,322,0,3,male,27.0,0,0,7.8958,S,1,1,Mr
322,323,1,2,female,30.0,0,0,12.35,Q,1,1,Miss
323,324,1,2,female,22.0,1,1,29.0,S,3,0,Mrs
324,325,0,3,male,28.0,8,2,69.55,S,11,0,Mr
325,326,1,1,female,36.0,0,0,135.6333,C,1,1,Miss
326,327,0,3,male,61.0,0,0,6.2375,S,1,1,Mr
327,328,1,2,female,36.0,0,0,13.0,S,1,1,Mrs
328,329,1,3,female,31.0,1,1,20.525,S,3,0,Mrs
329,330,1,1,female,16.0,0,1,57.9792,C,2,0,Miss
330,331,1,3,female,28.0,2,0,23.25,Q,3,0,Miss
331,332,0,1,male,45.5,0,0,28.5,S,1,1,Mr
332,333,0,1,male,38.0,0,1,153.4625,S,2,0,Mr
333,334,0,3,male,16.0,2,0,18.0,S,3,0,Mr
334,335,1,1,female,28.0,1,0,133.65,S,2,0,Mrs
335,336,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
336,337,0,1,male,29.0,1,0,66.6,S,2,0,Mr
337,338,1,1,female,41.0,0,0,134.5,C,1,1,Miss
338,339,1,3,male,45.0,0,0,8.05,S,1,1,Mr
339,340,0,1,male,45.0,0,0,35.5,S,1,1,Mr
340,341,1,2,male,2.0,1,1,26.0,S,3,0,Master
341,342,1,1,female,24.0,3,2,263.0,S,6,0,Miss
342,343,0,2,male,28.0,0,0,13.0,S,1,1,Mr
343,344,0,2,male,25.0,0,0,13.0,S,1,1,Mr
344,345,0,2,male,36.0,0,0,13.0,S,1,1,Mr
345,346,1,2,female,24.0,0,0,13.0,S,1,1,Miss
346,347,1,2,female,40.0,0,0,13.0,S,1,1,Miss
347,348,1,3,female,28.0,1,0,16.1,S,2,0,Mrs
348,349,1,3,male,3.0,1,1,15.9,S,3,0,Master
349,350,0,3,male,42.0,0,0,8.6625,S,1,1,Mr
350,351,0,3,male,23.0,0,0,9.225,S,1,1,Mr
351,352,0,1,male,28.0,0,0,35.0,S,1,1,Mr
352,353,0,3,male,15.0,1,1,7.2292,C,3,0,Mr
353,354,0,3,male,25.0,1,0,17.8,S,2,0,Mr
354,355,0,3,male,28.0,0,0,7.225,C,1,1,Mr
355,356,0,3,male,28.0,0,0,9.5,S,1,1,Mr
356,357,1,1,female,22.0,0,1,55.0,S,2,0,Miss
357,358,0,2,female,38.0,0,0,13.0,S,1,1,Miss
358,359,1,3,female,28.0,0,0,7.8792,Q,1,1,Miss
359,360,1,3,female,28.0,0,0,7.8792,Q,1,1,Miss
360,361,0,3,male,40.0,1,4,27.9,S,6,0,Mr
361,362,0,2,male,29.0,1,0,27.7208,C,2,0,Mr
362,363,0,3,female,45.0,0,1,14.4542,C,2,0,Mrs
363,364,0,3,male,35.0,0,0,7.05,S,1,1,Mr
364,365,0,3,male,28.0,1,0,15.5,Q,2,0,Mr
365,366,0,3,male,30.0,0,0,7.25,S,1,1,Mr
366,367,1,1,female,60.0,1,0,75.25,C,2,0,Mrs
367,368,1,3,female,28.0,0,0,7.2292,C,1,1,Mrs
368,369,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
369,370,1,1,female,24.0,0,0,69.3,C,1,1,Other
370,371,1,1,male,25.0,1,0,55.4417,C,2,0,Mr
371,372,0,3,male,18.0,1,0,6.4958,S,2,0,Mr
372,373,0,3,male,19.0,0,0,8.05,S,1,1,Mr
373,374,0,1,male,22.0,0,0,135.6333,C,1,1,Mr
374,375,0,3,female,3.0,3,1,21.075,S,5,0,Miss
375,376,1,1,female,28.0,1,0,82.1708,C,2,0,Mrs
376,377,1,3,female,22.0,0,0,7.25,S,1,1,Miss
377,378,0,1,male,27.0,0,2,211.5,C,3,0,Mr
378,379,0,3,male,20.0,0,0,4.0125,C,1,1,Mr
379,380,0,3,male,19.0,0,0,7.775,S,1,1,Mr
380,381,1,1,female,42.0,0,0,227.525,C,1,1,Miss
381,382,1,3,female,1.0,0,2,15.7417,C,3,0,Miss
382,383,0,3,male,32.0,0,0,7.925,S,1,1,Mr
383,384,1,1,female,35.0,1,0,52.0,S,2,0,Mrs
384,385,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
385,386,0,2,male,18.0,0,0,73.5,S,1,1,Mr
386,387,0,3,male,1.0,5,2,46.9,S,8,0,Master
387,388,1,2,female,36.0,0,0,13.0,S,1,1,Miss
388,389,0,3,male,28.0,0,0,7.7292,Q,1,1,Mr
389,390,1,2,female,17.0,0,0,12.0,C,1,1,Miss
390,391,1,1,male,36.0,1,2,120.0,S,4,0,Mr
391,392,1,3,male,21.0,0,0,7.7958,S,1,1,Mr
392,393,0,3,male,28.0,2,0,7.925,S,3,0,Mr
393,394,1,1,female,23.0,1,0,113.275,C,2,0,Miss
394,395,1,3,female,24.0,0,2,16.7,S,3,0,Mrs
395,396,0,3,male,22.0,0,0,7.7958,S,1,1,Mr
396,397,0,3,female,31.0,0,0,7.8542,S,1,1,Miss
397,398,0,2,male,46.0,0,0,26.0,S,1,1,Mr
398,399,0,2,male,23.0,0,0,10.5,S,1,1,Other
399,400,1,2,female,28.0,0,0,12.65,S,1,1,Mrs
400,401,1,3,male,39.0,0,0,7.925,S,1,1,Mr
401,402,0,3,male,26.0,0,0,8.05,S,1,1,Mr
402,403,0,3,female,21.0,1,0,9.825,S,2,0,Miss
403,404,0,3,male,28.0,1,0,15.85,S,2,0,Mr
404,405,0,3,female,20.0,0,0,8.6625,S,1,1,Miss
405,406,0,2,male,34.0,1,0,21.0,S,2,0,Mr
406,407,0,3,male,51.0,0,0,7.75,S,1,1,Mr
407,408,1,2,male,3.0,1,1,18.75,S,3,0,Master
408,409,0,3,male,21.0,0,0,7.775,S,1,1,Mr
409,410,0,3,female,28.0,3,1,25.4667,S,5,0,Miss
410,411,0,3,male,28.0,0,0,7.8958,S,1,1,Mr
411,412,0,3,male,28.0,0,0,6.8583,Q,1,1,Mr
412,413,1,1,female,33.0,1,0,90.0,Q,2,0,Miss
413,414,0,2,male,28.0,0,0,0.0,S,1,1,Mr
414,415,1,3,male,44.0,0,0,7.925,S,1,1,Mr
415,416,0,3,female,28.0,0,0,8.05,S,1,1,Mrs
416,417,1,2,female,34.0,1,1,32.5,S,3,0,Mrs
417,418,1,2,female,18.0,0,2,13.0,S,3,0,Miss
418,419,0,2,male,30.0,0,0,13.0,S,1,1,Mr
419,420,0,3,female,10.0,0,2,24.15,S,3,0,Miss
420,421,0,3,male,28.0,0,0,7.8958,C,1,1,Mr
421,422,0,3,male,21.0,0,0,7.7333,Q,1,1,Mr
422,423,0,3,male,29.0,0,0,7.875,S,1,1,Mr
423,424,0,3,female,28.0,1,1,14.4,S,3,0,Mrs
424,425,0,3,male,18.0,1,1,20.2125,S,3,0,Mr
425,426,0,3,male,28.0,0,0,7.25,S,1,1,Mr
426,427,1,2,female,28.0,1,0,26.0,S,2,0,Mrs
427,428,1,2,female,19.0,0,0,26.0,S,1,1,Miss
428,429,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
429,430,1,3,male,32.0,0,0,8.05,S,1,1,Mr
430,431,1,1,male,28.0,0,0,26.55,S,1,1,Mr
431,432,1,3,female,28.0,1,0,16.1,S,2,0,Mrs
432,433,1,2,female,42.0,1,0,26.0,S,2,0,Mrs
433,434,0,3,male,17.0,0,0,7.125,S,1,1,Mr
434,435,0,1,male,50.0,1,0,55.9,S,2,0,Mr
435,436,1,1,female,14.0,1,2,120.0,S,4,0,Miss
436,437,0,3,female,21.0,2,2,34.375,S,5,0,Miss
437,438,1,2,female,24.0,2,3,18.75,S,6,0,Mrs
438,439,0,1,male,64.0,1,4,263.0,S,6,0,Mr
439,440,0,2,male,31.0,0,0,10.5,S,1,1,Mr
440,441,1,2,female,45.0,1,1,26.25,S,3,0,Mrs
441,442,0,3,male,20.0,0,0,9.5,S,1,1,Mr
442,443,0,3,male,25.0,1,0,7.775,S,2,0,Mr
443,444,1,2,female,28.0,0,0,13.0,S,1,1,Other
444,445,1,3,male,28.0,0,0,8.1125,S,1,1,Mr
445,446,1,1,male,4.0,0,2,81.8583,S,3,0,Master
446,447,1,2,female,13.0,0,1,19.5,S,2,0,Miss
447,448,1,1,male,34.0,0,0,26.55,S,1,1,Mr
448,449,1,3,female,5.0,2,1,19.2583,C,4,0,Miss
449,450,1,1,male,52.0,0,0,30.5,S,1,1,Other
450,451,0,2,male,36.0,1,2,27.75,S,4,0,Mr
451,452,0,3,male,28.0,1,0,19.9667,S,2,0,Mr
452,453,0,1,male,30.0,0,0,27.75,C,1,1,Mr
453,454,1,1,male,49.0,1,0,89.1042,C,2,0,Mr
454,455,0,3,male,28.0,0,0,8.05,S,1,1,Mr
455,456,1,3,male,29.0,0,0,7.8958,C,1,1,Mr
456,457,0,1,male,65.0,0,0,26.55,S,1,1,Mr
457,458,1,1,female,28.0,1,0,51.8625,S,2,0,Mrs
458,459,1,2,female,50.0,0,0,10.5,S,1,1,Miss
459,460,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
460,461,1,1,male,48.0,0,0,26.55,S,1,1,Mr
461,462,0,3,male,34.0,0,0,8.05,S,1,1,Mr
462,463,0,1,male,47.0,0,0,38.5,S,1,1,Mr
463,464,0,2,male,48.0,0,0,13.0,S,1,1,Mr
464,465,0,3,male,28.0,0,0,8.05,S,1,1,Mr
465,466,0,3,male,38.0,0,0,7.05,S,1,1,Mr
466,467,0,2,male,28.0,0,0,0.0,S,1,1,Mr
467,468,0,1,male,56.0,0,0,26.55,S,1,1,Mr
468,469,0,3,male,28.0,0,0,7.725,Q,1,1,Mr
469,470,1,3,female,0.75,2,1,19.2583,C,4,0,Miss
470,471,0,3,male,28.0,0,0,7.25,S,1,1,Mr
471,472,0,3,male,38.0,0,0,8.6625,S,1,1,Mr
472,473,1,2,female,33.0,1,2,27.75,S,4,0,Mrs
473,474,1,2,female,23.0,0,0,13.7917,C,1,1,Mrs
474,475,0,3,female,22.0,0,0,9.8375,S,1,1,Miss
475,476,0,1,male,28.0,0,0,52.0,S,1,1,Mr
476,477,0,2,male,34.0,1,0,21.0,S,2,0,Mr
477,478,0,3,male,29.0,1,0,7.0458,S,2,0,Mr
478,479,0,3,male,22.0,0,0,7.5208,S,1,1,Mr
479,480,1,3,female,2.0,0,1,12.2875,S,2,0,Miss
480,481,0,3,male,9.0,5,2,46.9,S,8,0,Master
481,482,0,2,male,28.0,0,0,0.0,S,1,1,Mr
482,483,0,3,male,50.0,0,0,8.05,S,1,1,Mr
483,484,1,3,female,63.0,0,0,9.5875,S,1,1,Mrs
484,485,1,1,male,25.0,1,0,91.0792,C,2,0,Mr
485,486,0,3,female,28.0,3,1,25.4667,S,5,0,Miss
486,487,1,1,female,35.0,1,0,90.0,S,2,0,Mrs
487,488,0,1,male,58.0,0,0,29.7,C,1,1,Mr
488,489,0,3,male,30.0,0,0,8.05,S,1,1,Mr
489,490,1,3,male,9.0,1,1,15.9,S,3,0,Master
490,491,0,3,male,28.0,1,0,19.9667,S,2,0,Mr
491,492,0,3,male,21.0,0,0,7.25,S,1,1,Mr
492,493,0,1,male,55.0,0,0,30.5,S,1,1,Mr
493,494,0,1,male,71.0,0,0,49.5042,C,1,1,Mr
494,495,0,3,male,21.0,0,0,8.05,S,1,1,Mr
495,496,0,3,male,28.0,0,0,14.4583,C,1,1,Mr
496,497,1,1,female,54.0,1,0,78.2667,C,2,0,Miss
497,498,0,3,male,28.0,0,0,15.1,S,1,1,Mr
498,499,0,1,female,25.0,1,2,151.55,S,4,0,Mrs
499,500,0,3,male,24.0,0,0,7.7958,S,1,1,Mr
500,501,0,3,male,17.0,0,0,8.6625,S,1,1,Mr
501,502,0,3,female,21.0,0,0,7.75,Q,1,1,Miss
502,503,0,3,female,28.0,0,0,7.6292,Q,1,1,Miss
503,504,0,3,female,37.0,0,0,9.5875,S,1,1,Miss
504,505,1,1,female,16.0,0,0,86.5,S,1,1,Miss
505,506,0,1,male,18.0,1,0,108.9,C,2,0,Mr
506,507,1,2,female,33.0,0,2,26.0,S,3,0,Mrs
507,508,1,1,male,28.0,0,0,26.55,S,1,1,Mr
508,509,0,3,male,28.0,0,0,22.525,S,1,1,Mr
509,510,1,3,male,26.0,0,0,56.4958,S,1,1,Mr
510,511,1,3,male,29.0,0,0,7.75,Q,1,1,Mr
511,512,0,3,male,28.0,0,0,8.05,S,1,1,Mr
512,513,1,1,male,36.0,0,0,26.2875,S,1,1,Mr
513,514,1,1,female,54.0,1,0,59.4,C,2,0,Mrs
514,515,0,3,male,24.0,0,0,7.4958,S,1,1,Mr
515,516,0,1,male,47.0,0,0,34.0208,S,1,1,Mr
516,517,1,2,female,34.0,0,0,10.5,S,1,1,Mrs
517,518,0,3,male,28.0,0,0,24.15,Q,1,1,Mr
518,519,1,2,female,36.0,1,0,26.0,S,2,0,Mrs
519,520,0,3,male,32.0,0,0,7.8958,S,1,1,Mr
520,521,1,1,female,30.0,0,0,93.5,S,1,1,Miss
521,522,0,3,male,22.0,0,0,7.8958,S,1,1,Mr
522,523,0,3,male,28.0,0,0,7.225,C,1,1,Mr
523,524,1,1,female,44.0,0,1,57.9792,C,2,0,Mrs
524,525,0,3,male,28.0,0,0,7.2292,C,1,1,Mr
525,526,0,3,male,40.5,0,0,7.75,Q,1,1,Mr
526,527,1,2,female,50.0,0,0,10.5,S,1,1,Miss
527,528,0,1,male,28.0,0,0,221.7792,S,1,1,Mr
528,529,0,3,male,39.0,0,0,7.925,S,1,1,Mr
529,530,0,2,male,23.0,2,1,11.5,S,4,0,Mr
530,531,1,2,female,2.0,1,1,26.0,S,3,0,Miss
531,532,0,3,male,28.0,0,0,7.2292,C,1,1,Mr
532,533,0,3,male,17.0,1,1,7.2292,C,3,0,Mr
533,534,1,3,female,28.0,0,2,22.3583,C,3,0,Mrs
534,535,0,3,female,30.0,0,0,8.6625,S,1,1,Miss
535,536,1,2,female,7.0,0,2,26.25,S,3,0,Miss
536,537,0,1,male,45.0,0,0,26.55,S,1,1,Other
537,538,1,1,female,30.0,0,0,106.425,C,1,1,Miss
538,539,0,3,male,28.0,0,0,14.5,S,1,1,Mr
539,540,1,1,female,22.0,0,2,49.5,C,3,0,Miss
540,541,1,1,female,36.0,0,2,71.0,S,3,0,Miss
541,542,0,3,female,9.0,4,2,31.275,S,7,0,Miss
542,543,0,3,female,11.0,4,2,31.275,S,7,0,Miss
543,544,1,2,male,32.0,1,0,26.0,S,2,0,Mr
544,545,0,1,male,50.0,1,0,106.425,C,2,0,Mr
545,546,0,1,male,64.0,0,0,26.0,S,1,1,Mr
546,547,1,2,female,19.0,1,0,26.0,S,2,0,Mrs
547,548,1,2,male,28.0,0,0,13.8625,C,1,1,Mr
548,549,0,3,male,33.0,1,1,20.525,S,3,0,Mr
549,550,1,2,male,8.0,1,1,36.75,S,3,0,Master
550,551,1,1,male,17.0,0,2,110.8833,C,3,0,Mr
551,552,0,2,male,27.0,0,0,26.0,S,1,1,Mr
552,553,0,3,male,28.0,0,0,7.8292,Q,1,1,Mr
553,554,1,3,male,22.0,0,0,7.225,C,1,1,Mr
554,555,1,3,female,22.0,0,0,7.775,S,1,1,Miss
555,556,0,1,male,62.0,0,0,26.55,S,1,1,Mr
556,557,1,1,female,48.0,1,0,39.6,C,2,0,Other
557,558,0,1,male,28.0,0,0,227.525,C,1,1,Mr
558,559,1,1,female,39.0,1,1,79.65,S,3,0,Mrs
559,560,1,3,female,36.0,1,0,17.4,S,2,0,Mrs
560,561,0,3,male,28.0,0,0,7.75,Q,1,1,Mr
561,562,0,3,male,40.0,0,0,7.8958,S,1,1,Mr
562,563,0,2,male,28.0,0,0,13.5,S,1,1,Mr
563,564,0,3,male,28.0,0,0,8.05,S,1,1,Mr
564,565,0,3,female,28.0,0,0,8.05,S,1,1,Miss
565,566,0,3,male,24.0,2,0,24.15,S,3,0,Mr
566,567,0,3,male,19.0,0,0,7.8958,S,1,1,Mr
567,568,0,3,female,29.0,0,4,21.075,S,5,0,Mrs
568,569,0,3,male,28.0,0,0,7.2292,C,1,1,Mr
569,570,1,3,male,32.0,0,0,7.8542,S,1,1,Mr
570,571,1,2,male,62.0,0,0,10.5,S,1,1,Mr
571,572,1,1,female,53.0,2,0,51.4792,S,3,0,Mrs
572,573,1,1,male,36.0,0,0,26.3875,S,1,1,Mr
573,574,1,3,female,28.0,0,0,7.75,Q,1,1,Miss
574,575,0,3,male,16.0,0,0,8.05,S,1,1,Mr
575,576,0,3,male,19.0,0,0,14.5,S,1,1,Mr
576,577,1,2,female,34.0,0,0,13.0,S,1,1,Miss
577,578,1,1,female,39.0,1,0,55.9,S,2,0,Mrs
578,579,0,3,female,28.0,1,0,14.4583,C,2,0,Mrs
579,580,1,3,male,32.0,0,0,7.925,S,1,1,Mr
580,581,1,2,female,25.0,1,1,30.0,S,3,0,Miss
581,582,1,1,female,39.0,1,1,110.8833,C,3,0,Mrs
582,583,0,2,male,54.0,0,0,26.0,S,1,1,Mr
583,584,0,1,male,36.0,0,0,40.125,C,1,1,Mr
584,585,0,3,male,28.0,0,0,8.7125,C,1,1,Mr
585,586,1,1,female,18.0,0,2,79.65,S,3,0,Miss
586,587,0,2,male,47.0,0,0,15.0,S,1,1,Mr
587,588,1,1,male,60.0,1,1,79.2,C,3,0,Mr
588,589,0,3,male,22.0,0,0,8.05,S,1,1,Mr
589,590,0,3,male,28.0,0,0,8.05,S,1,1,Mr
590,591,0,3,male,35.0,0,0,7.125,S,1,1,Mr
591,592,1,1,female,52.0,1,0,78.2667,C,2,0,Mrs
592,593,0,3,male,47.0,0,0,7.25,S,1,1,Mr
593,594,0,3,female,28.0,0,2,7.75,Q,3,0,Miss
